entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,capital_after
6581,6589,28101.59,28307.69,0.7334104582694378,83.16551410375921,11422.724851721785
6628,6636,27407.18,27420.0,0.04677606379058228,5.343101063264077,11428.06795278505
6692,6694,28042.37,27931.09,-0.3968280855006151,-45.34978326674625,11382.718169518304
6788,6790,27425.71,27390.12,-0.1297687461874283,-14.771210650632495,11367.946958867671
6791,6793,27462.46,27120.93,-1.2436249338187433,-141.37462284376792,11226.572336023903
6795,6796,27123.6,27113.68,-0.036573316226453184,-4.105929801845534,11222.466406222056
6809,6810,26690.4,26763.2,0.27275724605101187,30.61009030861124,11253.076496530668
6812,6822,26728.44,26810.66,0.307612415838714,34.61586046715651,11287.692356997824
6870,6871,26868.8,26866.04,-0.010272137200017862,-1.1594872456267464,11286.532869752198
6916,6935,27916.44,28278.09,1.2954732050361775,146.21400910524048,11432.746878857439
6954,6957,28516.47,28416.91,-0.34913157203539325,-39.91532890498233,11392.831549952456
6961,6966,28471.15,28494.55,0.08218846095081447,9.363592909624746,11402.195142862081
7013,7019,29282.6,29509.21,0.7738725386406965,88.23845701283298,11490.433599874914
7128,7130,34195.93,33999.39,-0.5747467607987291,-66.04089491700988,11424.392704957903
7144,7148,34660.15,34552.75,-0.30986594114567145,-35.400301975395244,11388.992402982509
7181,7182,34240.0,33942.0,-0.8703271028037384,-99.12148761941553,11289.870915363093
7183,7185,34084.72,34066.2,-0.054335197707371725,-6.134373682769595,11283.736541680324
7225,7226,34032.2,33970.87,-0.18021168187773484,-20.334611400414662,11263.40193027991
7227,7228,34020.01,34032.35,0.03627277005502499,4.085547882543677,11267.487478162453
7237,7244,34479.99,34437.44,-0.12340490818006512,-13.90463257662671,11253.582845585826
7245,7246,34702.45,34525.89,-0.5087825211188193,-57.256262517966526,11196.32658306786
7276,7277,34282.21,34246.67,-0.10366892916180395,-11.607111874124843,11184.719471193734
7279,7283,34400.92,34297.16,-0.301619840399602,-33.735333018157746,11150.984138175576
7285,7286,34315.84,34272.19,-0.12720073295595907,-14.184133555562068,11136.800004620014
7287,7295,34425.6,34507.68,0.2384272169548294,26.55316230884081,11163.353166928855
7344,7345,34594.32,34677.59,0.24070425434000955,26.870665999797943,11190.223832928654
7346,7347,34681.92,34404.25,-0.8006188815382721,-89.59104489282255,11100.632788035831
7405,7406,34897.19,34882.92,-0.04089154456276873,-4.539220203268989,11096.093567832562
7407,7412,34954.59,34645.92,-0.8830599929794579,-97.98516308109632,10998.108404751465
7437,7439,35115.73,34924.9,-0.5434316757760745,-59.767204807610185,10938.341199943854
7440,7441,34940.61,34814.33,-0.3614132666830912,-39.53261625165952,10898.808583692195
7442,7443,34919.01,34893.16,-0.07402844467812388,-8.068218482953192,10890.740365209242
7452,7454,34780.01,34721.23,-0.16900512679553237,-18.405909563194104,10872.334455646047
7456,7464,34850.0,35375.06,1.5066284074605385,163.80567946288346,11036.14013510893
7467,7468,35346.32,35259.19,-0.24650373787143154,-27.204497949772765,11008.935637159157
7523,7536,37185.32,37053.25,-0.3551670390358338,-39.10011073185888,10969.835526427298
7620,7622,36503.26,36147.09,-0.9757210725836694,-107.03499685912084,10862.800529568176
7623,7624,36268.9,36091.09,-0.49025473615137194,-53.25539407488429,10809.545135493292
7633,7634,35480.6,35381.99,-0.27792652886366237,-30.042593581027376,10779.502541912265
7635,7656,35578.84,37433.37,5.212452120417659,561.8764088163813,11341.378950728646
7694,7695,36044.8,35978.95,-0.1826893199574025,-20.719488078878154,11320.659462649768
7736,7737,36627.88,36530.53,-0.2657811481308734,-30.088178695816918,11290.571283953952
7739,7740,36492.63,36487.04,-0.015318161502737699,-1.7295079438577918,11288.841776010095
7799,7800,36108.17,36093.02,-0.041957263411580965,-4.736489080077151,11284.105286930018
7839,7840,37084.0,37169.78,0.2313126955021002,26.101568102492823,11310.206855032511
7972,7977,38035.73,37973.38,-0.1639248149043171,-18.54023565240743,11291.666619380103
8016,8027,37946.02,38360.95,1.0934743617380698,123.47147949585728,11415.138098875961
8062,8065,39450.35,39364.16,-0.21847714912540717,-24.9394682871524,11390.19863058881
8092,8101,41500.0,41645.93,0.3516385542168682,40.05232978703201,11430.25096037584
8105,8112,41725.89,41805.07,0.18976227948642987,21.69030477342874,11451.94126514927
8114,8115,41829.99,41777.79,-0.12479084981850841,-14.290974825496217,11437.650290323772
8148,8150,44095.06,43785.2,-0.7027091016544724,-80.37340960551434,11357.276880718258
8151,8152,43853.24,43961.12,0.2460023478310945,27.93916777624501,11385.216048494503
8193,8208,43349.99,44118.7,1.7732645382386458,201.88999878980826,11587.106047284311
8324,8329,42988.49,42765.99,-0.517580403498704,-59.97259023335687,11527.133457050953
8372,8374,42238.03,41940.3,-0.7048860943561902,-81.25316081663215,11445.880296234322
8382,8383,42222.67,42179.13,-0.1031199590172788,-11.802987070643622,11434.077309163678
8452,8453,42958.78,42907.1,-0.12030136796249868,-13.755351416813566,11420.321957746864
8454,8458,43036.16,42976.11,-0.13953382457915137,-15.935212006896814,11404.386745739968
8540,8544,43706.24,43638.46,-0.15508083056332195,-17.686017685946943,11386.700728054022
8590,8591,42991.5,42921.66,-0.16245071700219,-18.497776975617345,11368.202951078405
8592,8593,43047.91,43063.59,0.036424532573109854,4.140814786892789,11372.343765865298
8594,8599,43152.78,43114.55,-0.0885922065739355,-10.075010281353462,11362.268755583946
8716,8718,42104.0,41947.16,-0.37250617518524726,-42.32515275569415,11319.94360282825
8857,8858,43506.0,43465.21,-0.09375718291730077,-10.61326022983897,11309.330342598412
8859,8860,43589.88,43644.15,0.12450137508982378,14.080271789985702,11323.410614388398
8861,8865,43844.82,43628.18,-0.494106259302694,-55.94968061223871,11267.46093377616
8948,8951,47071.41,46668.88,-0.8551475301037426,-96.3534138805909,11171.107519895568
8964,8969,46834.0,46640.5,-0.4131613784857155,-46.15470182132195,11124.952818074245
9021,9022,46399.99,46339.16,-0.13109916618515322,-14.584720382987042,11110.368097691258
9097,9105,42399.72,42565.26,0.39042710659410224,43.377888695770174,11153.745986387028
9176,9177,42743.84,42447.66,-0.6929185585571934,-77.28637591400381,11076.459610473024
9178,9179,42544.59,42433.44,-0.26125530884183906,-28.937838764082866,11047.521771708942
9302,9314,39204.0,39614.0,1.0458116518722578,115.53626993165662,11163.0580416406
9320,9323,40024.81,40029.66,0.01211748413048262,1.3526817866723637,11164.410723427272
9330,9331,39803.05,39544.4,-0.6498245737449804,-72.54908439465015,11091.861639032622
9408,9418,42100.0,42471.98,0.8835629453681786,98.00357939399977,11189.865218426623
9481,9482,42883.0,42930.07,0.10976377585523334,12.282418576856514,11202.14763700348
9483,9488,42962.64,42646.0,-0.7370124368521102,-82.56122127925042,11119.586415724229
9490,9491,42647.98,42622.81,-0.059018035555272554,-6.562561464431382,11113.023854259798
9568,9569,43230.01,43070.35,-0.36932677091678556,-41.043372152149814,11071.980482107649
9571,9572,43065.15,43045.02,-0.04674313220784011,-5.175390474777831,11066.80509163287
9588,9589,42995.52,42874.0,-0.2826340976920312,-31.278564714072324,11035.526526918798
9590,9591,42943.21,42913.16,-0.06997613825327831,-7.7222352994539,11027.804291619344
9598,9599,42582.88,42360.96,-0.5211484051806695,-57.47122619221964,10970.333065427125
9600,9601,42529.67,42447.06,-0.19424086761077758,-21.308870126077657,10949.024195301046
9602,9614,42718.31,42644.03,-0.17388328330404185,-19.038522760543408,10929.985672540502
9651,9652,42929.18,43029.12,0.23280202417097726,25.44522788727209,10955.430900427775
9740,9744,47941.63,47626.58,-0.657153292451666,-71.99397486442832,10883.436925563346
9789,9793,50021.1,49947.57,-0.1469979668579836,-15.998431004849158,10867.438494558497
9795,9798,49902.46,49983.09,0.1615752009019142,17.559085580474854,10884.997580138972
9799,9801,50117.98,49861.09,-0.5125705385572338,-55.79329071846019,10829.204289420511
9820,9831,49539.05,51581.35,4.122606307549288,446.44545909304804,11275.649748513559
