时间,资金
10214,11139.608282382454
10215,11139.608282382454
10216,11139.608282382454
10217,11139.608282382454
10218,11139.608282382454
10219,11139.608282382454
10220,11139.608282382454
10221,11139.608282382454
10222,11139.608282382454
10223,11139.608282382454
10224,11139.608282382454
10225,11139.608282382454
10226,11139.608282382454
10227,11139.608282382454
10228,11139.608282382454
10229,11139.608282382454
10230,11139.608282382454
10231,11139.608282382454
10232,11139.608282382454
10233,11139.608282382454
10234,11139.608282382454
10235,11139.608282382454
10236,11139.608282382454
10237,11139.608282382454
10238,11139.608282382454
10239,11139.608282382454
10240,11139.608282382454
10241,11139.608282382454
10242,11139.608282382454
10243,11139.608282382454
10244,11139.608282382454
10245,11139.608282382454
10246,11139.608282382454
10247,11139.608282382454
10248,11139.608282382454
10249,11139.608282382454
10250,11139.608282382454
10251,11139.608282382454
10252,11139.608282382454
10253,11139.608282382454
10254,11139.608282382454
10255,11139.608282382454
10256,11139.608282382454
10257,11139.608282382454
10258,11139.608282382454
10259,11139.608282382454
10260,11139.608282382454
10261,11139.608282382454
10262,11139.608282382454
10263,11139.608282382454
10264,11139.608282382454
10265,11139.608282382454
10266,11139.608282382454
10267,11139.608282382454
10268,11139.608282382454
10269,11139.608282382454
10270,11139.608282382454
10271,11139.608282382454
10272,11139.608282382454
10273,11139.608282382454
10274,11139.608282382454
10275,11139.608282382454
10276,11139.608282382454
10277,11139.608282382454
10278,11139.608282382454
10279,11139.608282382454
10280,11139.608282382454
10281,11139.608282382454
10282,11139.608282382454
10283,11139.608282382454
10284,11139.608282382454
10285,11139.608282382454
10286,11139.608282382454
10287,11139.608282382454
10288,11139.608282382454
10289,11099.42596172457
10290,11230.6662161468
10291,11234.315064769795
10292,11230.59957050985
10293,11317.947008437024
10294,11370.697030082696
10295,11335.424826727076
10296,11414.07167675047
10297,11352.719369515517
10298,11348.742291130546
10299,11217.488707580924
10300,11217.488707580924
10301,11217.488707580924
10302,11217.488707580924
10303,11217.488707580924
10304,11217.488707580924
10305,11217.488707580924
10306,11191.653797580151
10307,11191.653797580151
10308,11265.624237799
10309,11421.949919811237
10310,11099.896407153616
10311,11099.896407153616
10312,11099.896407153616
10313,10831.294121293055
10314,10831.294121293055
10315,10831.294121293055
10316,11072.456575218448
10317,11072.456575218448
10318,11072.456575218448
10319,11072.456575218448
10320,11072.456575218448
10321,11072.456575218448
10322,11072.456575218448
10323,11072.456575218448
10324,11072.456575218448
10325,11072.456575218448
10326,11072.456575218448
10327,11072.456575218448
10328,11072.456575218448
10329,11072.456575218448
10330,11072.456575218448
10331,11072.456575218448
10332,11072.456575218448
10333,11072.456575218448
10334,11072.456575218448
10335,11072.456575218448
10336,11072.456575218448
10337,11072.456575218448
10338,11072.456575218448
10339,11072.456575218448
10340,11072.456575218448
10341,11072.456575218448
10342,11072.456575218448
10343,11072.456575218448
10344,11072.456575218448
10345,11072.456575218448
10346,11072.456575218448
10347,11072.456575218448
10348,11072.456575218448
10349,11072.456575218448
10350,11072.456575218448
10351,11072.456575218448
10352,11072.456575218448
10353,11072.456575218448
10354,11072.456575218448
10355,11072.456575218448
10356,11072.456575218448
10357,11072.456575218448
10358,11072.456575218448
10359,11072.456575218448
10360,11072.456575218448
10361,11072.456575218448
10362,11072.456575218448
10363,11072.456575218448
10364,11072.456575218448
10365,11072.456575218448
10366,11072.456575218448
10367,11072.456575218448
10368,11072.456575218448
10369,11072.456575218448
10370,11072.456575218448
10371,11072.456575218448
10372,11072.456575218448
10373,11072.456575218448
10374,11072.456575218448
10375,11072.456575218448
10376,11072.456575218448
10377,11072.456575218448
10378,11072.456575218448
10379,11072.456575218448
10380,11072.456575218448
10381,11072.456575218448
10382,11072.456575218448
10383,11072.456575218448
10384,11072.456575218448
10385,11072.456575218448
10386,11072.456575218448
10387,11072.456575218448
10388,11072.456575218448
10389,11072.456575218448
10390,11072.456575218448
10391,11072.456575218448
10392,11072.456575218448
10393,11072.456575218448
10394,11072.456575218448
10395,11072.456575218448
10396,11072.456575218448
10397,11072.456575218448
10398,11072.456575218448
10399,11072.456575218448
10400,11072.456575218448
10401,11072.456575218448
10402,11072.456575218448
10403,11072.456575218448
10404,11072.456575218448
10405,11072.456575218448
10406,11072.456575218448
10407,11072.456575218448
10408,11072.456575218448
10409,11072.456575218448
10410,11072.456575218448
10411,11072.456575218448
10412,11072.456575218448
10413,11072.456575218448
10414,11072.456575218448
10415,11072.456575218448
10416,11072.456575218448
10417,11072.456575218448
10418,11072.456575218448
10419,11072.456575218448
10420,11072.456575218448
10421,11072.456575218448
10422,11072.456575218448
10423,11118.471022823978
10424,11140.97769041992
10425,11136.789623656003
10426,11107.790893741309
10427,11141.237947714057
10428,11067.091762284113
10429,11067.091762284113
10430,11067.091762284113
10431,11067.091762284113
10432,11067.091762284113
10433,11067.091762284113
10434,11067.091762284113
10435,11067.091762284113
10436,11067.091762284113
10437,11067.091762284113
10438,11067.091762284113
10439,11067.091762284113
10440,11067.091762284113
10441,11067.091762284113
10442,11067.091762284113
10443,11067.091762284113
10444,11067.091762284113
10445,11067.091762284113
10446,11067.091762284113
10447,11067.091762284113
10448,11067.091762284113
10449,11067.091762284113
10450,11067.091762284113
10451,11067.091762284113
10452,11067.091762284113
10453,11067.091762284113
10454,11067.091762284113
10455,11067.091762284113
10456,11067.091762284113
10457,11067.091762284113
10458,11067.091762284113
10459,11067.091762284113
10460,11067.091762284113
10461,11067.091762284113
10462,11067.091762284113
10463,11067.091762284113
10464,11067.091762284113
10465,11067.091762284113
10466,11067.091762284113
10467,11067.091762284113
10468,11067.091762284113
10469,11067.091762284113
10470,11067.091762284113
10471,11067.091762284113
10472,11067.091762284113
10473,11067.091762284113
10474,11067.091762284113
10475,11067.091762284113
10476,11067.091762284113
10477,11067.091762284113
10478,11067.091762284113
10479,11067.091762284113
10480,11067.091762284113
10481,11067.091762284113
10482,11067.091762284113
10483,11067.091762284113
10484,11067.091762284113
10485,11067.091762284113
10486,11067.091762284113
10487,11067.091762284113
10488,11067.091762284113
10489,11067.091762284113
10490,11067.091762284113
10491,11067.091762284113
10492,11067.091762284113
10493,11067.091762284113
10494,11067.091762284113
10495,11067.091762284113
10496,11067.091762284113
10497,11067.091762284113
10498,11067.091762284113
10499,11067.091762284113
10500,11067.091762284113
10501,11067.091762284113
10502,11067.091762284113
10503,11067.091762284113
10504,11067.091762284113
10505,11067.091762284113
10506,11067.091762284113
10507,11067.091762284113
10508,11067.091762284113
10509,11067.091762284113
10510,11067.091762284113
10511,11067.091762284113
10512,11067.091762284113
10513,11067.091762284113
10514,11067.091762284113
10515,11067.091762284113
10516,11067.091762284113
10517,11067.091762284113
10518,11067.091762284113
10519,11067.091762284113
10520,11067.091762284113
10521,11067.091762284113
10522,11067.091762284113
10523,11067.091762284113
10524,11067.091762284113
10525,11067.091762284113
10526,11067.091762284113
10527,11067.091762284113
10528,11067.091762284113
10529,11067.091762284113
10530,11067.091762284113
10531,11067.091762284113
10532,11067.091762284113
10533,11067.091762284113
10534,11067.091762284113
10535,11067.091762284113
10536,11067.091762284113
10537,11067.091762284113
10538,11067.091762284113
10539,11067.091762284113
10540,11067.091762284113
10541,11067.091762284113
10542,11067.091762284113
10543,11067.091762284113
10544,11067.091762284113
10545,11067.091762284113
10546,11067.091762284113
10547,11067.091762284113
10548,11067.091762284113
10549,11067.091762284113
10550,11067.091762284113
10551,11067.091762284113
10552,11067.091762284113
10553,11067.091762284113
10554,11067.091762284113
10555,11067.091762284113
10556,11067.091762284113
10557,11067.091762284113
10558,11067.091762284113
10559,11067.091762284113
10560,11067.091762284113
10561,11067.091762284113
10562,11067.091762284113
10563,11067.091762284113
10564,11067.091762284113
10565,11067.091762284113
10566,11067.091762284113
10567,11067.091762284113
10568,11067.091762284113
10569,11067.091762284113
10570,11067.091762284113
10571,11067.091762284113
10572,11067.091762284113
